Question ID,Question Text,B1 text,B1 go to question ID,B1 search params,B1 go to page,B1 show image,B2 text,B2 go to question ID,B2 search params,B2 go to page,B2 show image,B3 text,B3 go to question ID,B3 search params,B3 go to page,B3 show image,B4 text,B4 go to question ID,B4 search params,B4 go to page,B4 show image,B5 text,B5 go to question ID,B5 search params,B5 go to page,B5 show image,B6 text,B6 go to question ID,B6 search params,B6 go to page,B6 show image
1,What are you working on?/Here are a few ideas to get you started...,Learning about a specific country,2,,,,Writing a law/policy options paper,11,,,,Assessing coherence of different policies (e.g. across climate; nature),19,,,,,,,,,,,,,,,,,,
2,You can find information on issues like the risks a country faces; financial flows; targets; and key policy measures./Which country would you like to focus on?,Uganda,3,l=uganda,,,Vietnam,3,l=vietnam,,,Colombia,3,l=colombia,,,France,3,l=france,,,,,,,,,,,,
3,Which topic do you want to explore?,Financial flows,4,cfn=climate+finance,,,Targets and commitments,5,cfn=target,,,Subsidies,6,cfn=subsidy,,,Bans,7,cfn=ban,,,Climate risks,8,,,,Just transition,9,cfn=just+transition,,
4,Which financial flows are you interested in?,Biodiversity,9,q=biodiversity,,,Adaptation,9,cfn=adaptation,,,Renewables,9,cfn=renewable+energy,,,Fossil fuels,9,cfn=fossil+fuel,,,Agriculture,9,cfn=agriculture+sector,,,,,,,
5,Which targets are you interested in?,Biodiversity,9,q=biodiversity,,,Adaptation,9,cfn=adaptation,,,Renewables,9,cfn=renewable+energy,,,Emissions reduction,9,cfn=emissions+reduction+target,,,Agriculture,9,cfn=agriculture+sector,,,,,,,
6,Which subsidies are you interested in?,Biodiversity,9,q=biodiversity,,,Renewables,9,cfn=renewable+energy,,,Fossil fuels,9,cfn=fossil+fuel,,,Agriculture,9,cfn=agriculture+sector,,,,,,,,,,,,
7,Which bans are you interested in?,All bans,9,,,,All fossil fuel bans,9,cfn=fossil+fuel,,,Oil bans,9,cfn=oil,,,Gas bans,9,cfn=gas,,,Coal bans,9,cfn=coal,,,,,,,
8,Which risks are you interested in?,Extreme weather,9,cfn=extreme+weather,,,Marine,9,cfn=marine+risk,,,Terrestrial,9,cfn=terrestrial+risk,,,,,,,,,,,,,,,,,
9,Are you interested in seeing recent documents; or trends over time?/Recent documents are those from the last 5 years mentioning this topic. Trends over time will show a graph showing how references to this topic have changed over time.,Over time,,,,9B1.gif,Now (Last 5 years),,y=2020&y=2025,/search,,,,,,,,,,,,,,,,,,,,,
10,Search,Search,,q=,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Looking at existing laws or policies in other countries is a great place to start./CPR's database can help you identify relevant laws or policies that can be used as a benchmark./Are you interested in laws or policies?,Laws,12,c=laws,,,Policies,12,c=policies,,,,,,,,,,,,,,,,,,,,,,
13,Which topic do you want to explore?,Biodiversity,14,q=biodiversity,,,Adaptation,17,tp=adaptation,,,Renewables,15,cfn=renewable+energy,,,Fossil fuels,16,cfn=fossil+fuel,,,All areas,14,,,,,,,,
12,Are you interested in a particular region?,All regions,13,,,,Sub-Saharan Africa,13,r=sub-saharan-africa,,,South Asia,13,r=south-asia,,,Europe and Central Asia,13,r=europe-central-asia,,,Latin America,13,r=latin-america-caribbean,,,,,,,
14,Are you interested in specific sectors?,No,18,,,,Agriculture,,cfn=agriculture,/search,,Forestry,,cfn=forestry,/search,,Fishing,,cfn=fishing,/search,,Construction,,cfn=construction,/search,,,,,,
15,Are you interested in specific policy instruments?,No,,,/search,,Subsidy,,cfn=subsidy,/search,,Feed-in-tariff,,cfn=feed-in-tariff,/search,,Direct investment,,cfn=direct+investment,/search,,Spatial planning,,cfn=zoning+and+spatial+planning,/search,,,,,,
